,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
37,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브 스페셜,차량번호 33가7812,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216692&gubun=K,2018.06 (19년형),"55,383 km",가솔린 하이브리드,"2,359 cc (199마력)",회색,만료,"2,650만원",준비중,유,무,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,4,"5,271,568",2,"1,669,217"
38,현대 그랜저IG 2.4  프리미엄 스페셜,차량번호 184두1446,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216416&gubun=K,2017.03,"62,188 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,790만원",53,무,무,무,유,무,무,무,무,무,유,등록,4,0,0,0,0,1,"942,300",2,"3,401,763"
39,현대 그랜저HG  240 모던   ,차량번호 34루6273,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2209801&gubun=K,2013.12 (14년형),"167,992 km",가솔린,"2,359 cc (201마력)",흰색,불가,890만원,29,무,유,유,유,무,유,무,유,무,무,미등록,,,,,,,,,
40,현대 그랜저HG  220 디젤 프리미엄   ,차량번호 24보1117,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212883&gubun=K,2015.04,"138,873 km",디젤,"2,199 cc (202마력)",흰색,불가,"1,190만원",35,유,유,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
41,현대 그랜저HG  300 노블   ,차량번호 27나8198,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216345&gubun=K,2012.01,"150,008 km",가솔린,"2,999 cc (270마력)",검정색,불가,690만원,19,유,유,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
42,현대 그랜저TG Q270 럭셔리 스마트팩,차량번호 54수8666,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2208219&gubun=K,2008.01,"115,902 km",가솔린,"2,656 cc (195마력)",검정색,만료,350만원,11,무,무,유,유,무,유,무,유,무,무,등록,4,0,0,0,0,6,"8,208,166",4,"4,334,163"
43,현대 그랜저IG 2.4 프리미엄 스페셜,차량번호 162어6546,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214073&gubun=K,2018.08 (19년형),"69,883 km",가솔린,"2,359 cc (190마력)",검정색,만료,"2,180만원",64,무,무,유,유,유,유,무,유,무,유,등록,1,0,0,0,0,2,"878,558",0,0
44,현대 그랜저IG 2.4  프리미엄,차량번호 26조9460,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215572&gubun=K,2018.06 (19년형),"163,209 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,420만원",43,유,유,유,유,유,유,무,유,무,유,등록,1,0,0,0,0,6,"8,903,751",2,"5,887,060"
45,현대 그랜저HG 300  익스클루시브 스페셜,차량번호 45러8549,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214545&gubun=K,2014.01,"256,980 km",가솔린,"2,999 cc (270마력)",검정색,만료,660만원,17,,,,,,,,,,,등록,4,0,0,0,0,0,0,1,"1,053,300"
46,현대 그랜저HG 330 셀러브리티,차량번호 52거0989,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214541&gubun=K,2011.12 (12년형),"263,295 km",가솔린,"3,342 cc (294마력)",검정색,만료,530만원,11,,,,,,,,,,,등록,0,0,0,0,0,16,"15,875,273",1,"594,806"
